network,n_plants,n_polls,n_pairs,lat,lon,has_coords,year_min,year_max,dataset
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Christmas Hill Nature Sanctuary, Saanich",23,68,686,48.47379,-123.376587,True,2012.0,2015.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Coburg Ridge, nr. Eugene",20,58,476,44.097672,-122.99339,True,2017.0,2017.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Colony Farm (Hedgerow, control), Coquitlam",13,17,104,49.2409833333333,-122.808652777778,True,2013.0,2013.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Colony Farm Regional Park, Coquitlam",10,11,59,49.2404722222222,-122.811369444444,True,2015.0,2015.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Cowichan Garry Oak Preserve nr. Duncan",31,112,1452,48.808556,-123.63125,True,2009.0,2017.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake",24,64,412,48.81885,-124.1381885,True,2009.0,2010.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Cowichan River Provincial Park, Lake Cowichan",27,58,387,48.7775,-123.941722,True,2009.0,2010.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Delta Heritage Air Park (restored), Delta",12,17,123,49.0805916666667,-122.939469444444,True,2013.0,2013.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Gonzales Hill Park, Victoria CRD",12,41,295,48.421142,-123.325838,True,2014.0,2015.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Haynes Lease Ecological Reserve Ungrazed",11,36,125,49.0873611111111,-119.517833333333,True,2010.0,2010.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Highrock (Cairn) Park (Gardens), Esquimalt",78,56,440,48.4358333333333,-123.408333333333,True,2012.0,2012.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Highrock (Cairn) Park, Esquimalt",23,71,725,48.435778,-123.406917,True,2012.0,2015.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Jefferson Farm, nr. Jefferson",15,58,628,44.785633,-123.02541,True,2017.0,2017.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Kennedy Bench Cons. Area Ungrazed",24,61,329,49.2621111111111,-119.509333333333,True,2010.0,2010.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Kingston Prairie, nr. Stayton",14,62,537,44.77879,-122.74432,True,2017.0,2017.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Knockan Hill Park, Saanich",23,59,637,48.469772,-123.418017,True,2014.0,2017.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Lacamas Lake Regional Park, nr. Camas",16,62,611,45.601305,-122.39864,True,2017.0,2017.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Lacamas Prairie Natural Area Preserve",18,52,347,45.641993,-122.45951,True,2017.0,2017.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Layritz Park, Saanich",15,44,422,48.4904805555556,-123.41265,True,2014.0,2015.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Little Saanich Mountain, NRCan",14,42,305,48.520446,-123.420315,True,2012.0,2015.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Lower Seymour Conservation Reserve (control), North Vancouver",12,22,118,49.4364888888889,-122.974058333333,True,2013.0,2013.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Lower Seymour Conservation Reserve (restored), North Vancouver",11,19,189,49.3471083333333,-123.013880555556,True,2013.0,2013.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Mesachie Mountain, nr. Mesachie Lake",19,43,170,48.81749,-124.11746,True,2009.0,2010.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Mill Hill Regional Park, Victoria CRD",20,58,421,48.457209,-123.478287,True,2014.0,2017.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Mima Mounds Natural Area Preserve",14,49,267,46.906645,-123.04968,True,2017.0,2017.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Mount Douglas Park, Saanich",23,53,358,48.492087,-123.344527,True,2012.0,2015.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Mount Tolmie Park (Gardens), Saanich",71,58,450,48.4555555555556,-123.322222222222,True,2012.0,2012.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Mount Tolmie Park, Saanich",23,60,702,48.457084,-123.322216,True,2012.0,2015.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Mount Tzuhalem Ecological Reserve, nr. Duncan",31,88,927,48.78617,-123.63399,True,2009.0,2017.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Mt. Oliver Protected Area Grazed",20,66,264,49.1843055555556,-119.585527777778,True,2010.0,2010.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | North Bank Habitat Management Area",17,35,164,43.317563,-123.25108,True,2017.0,2017.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | North Esquimalt (Gardens), Esquimalt",63,47,316,48.4425,-123.396388888889,True,2012.0,2012.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Oak Meadows Park (control), Vancouver",12,25,76,49.2388361111111,-123.127272222222,True,2013.0,2013.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Oak Meadows Park (restored), Vancouver",23,18,111,49.2377388888889,-123.126311111111,True,2013.0,2013.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Oakhaven Park, Central Saanich",32,73,1215,48.56444,-123.447365,True,2012.0,2017.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Pacific Spirit Park (MOA,restored), Vancouver",18,33,270,49.2694611111111,-123.261055555556,True,2013.0,2013.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Pitt Meadows R2, Gaskin Farm",13,20,89,49.2845277777778,-122.708741666667,True,2016.0,2016.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Pollinator Pasture, Richmond",21,44,441,49.1902527777778,-123.086788888889,True,2016.0,2016.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Popcorn Swale, nr. Sutherlin",13,46,399,43.329968,-123.33706,True,2017.0,2017.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Rocky Prairie Natural Area Preserve",16,50,378,46.91995,-122.8579,True,2017.0,2017.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | S.Okanagan Grasslands Grazed",20,65,200,49.0113888888889,-119.620555555556,True,2010.0,2010.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | S.Okanagan Grasslands Ungrazed",21,67,236,49.0153333333333,-119.58775,True,2010.0,2010.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Stoltz Meadows, ~ 15 km E Lake Cowichan",32,78,730,48.781667,-123.88525,True,2009.0,2010.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Summit Park, Victoria",13,40,307,48.445815,-123.354109,True,2014.0,2015.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Surrey 2, Paul Gill Farm",11,15,54,49.0956416666667,-122.795308333333,True,2016.0,2016.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Thetis Lake Regional Park, nr. Victoria",23,59,300,48.466917,-123.466278,True,2012.0,2015.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Tower Point Witty's Lagoon Metchosin CRD",14,30,137,48.3836166666667,-123.505808333333,True,2014.0,2014.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Tynehead Regional Park (control), Surrey",16,27,246,49.1839638888889,-122.752047222222,True,2013.0,2013.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Tynehead Regional Park (restored), Surrey",18,29,191,49.1838861111111,-122.747613888889,True,2013.0,2013.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Uplands Park (Gardens), Oak Bay",35,38,226,48.4422222222222,-123.294722222222,True,2012.0,2012.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Uplands Park, Oak Bay",19,53,652,48.4422,-123.298318,True,2012.0,2015.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Victoria Centre (Gardens)",87,58,400,48.4336111111111,-123.353888888889,True,2012.0,2012.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | White Lake Biodiversity Ranch Grazed",18,65,277,49.3118333333333,-119.679972222222,True,2010.0,2010.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | White Lake Biodiversity Ranch Ungrazed",22,78,258,49.3026111111111,-119.630305555556,True,2010.0,2010.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Willow Creek, nr. Eugene",11,52,508,44.028456,-123.17364,True,2017.0,2017.0,
"? | LaManna, JA, Burkle, LA, Belote, RT, Myers, JA. Biotic and abiotic drivers of plant–pollinator community assembly across | ?",157,221,4096,46.7,-111.72,True,2014.0,2015.0,
"web-of-life | Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollin | ?",11,85,143,46.553731,-66.071245,True,,,web-of-life
"web-of-life | Bek S (2006). A pollination network from a Danish forest meadow. MSc thesis (Univ of Aarhus, Aarhus, Denmark). | ?",25,26,88,56.066667,10.216667,True,,,web-of-life
"web-of-life | Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washi | ?",81,175,694,38.841784,-105.043821,True,,,web-of-life
"web-of-life | Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant–insect flower visitor webs. J. Anim. Ecol. 71:  | ?",18,18,69,52.762395,1.575532,True,,,web-of-life
"web-of-life | Dupont & Olesen(2009). J. Animal Ecology, 78:346-353. | ?",18,50,246,56.1,9.1,True,,,web-of-life
"web-of-life | Inoue et al 1990. Insect-flower Relationship in the Temperate Deciduous Forest of Kibune, Kyoto : An Overview of the Flo | ?",18,13,58,35.166667,135.866667,True,,,web-of-life
"web-of-life | Kakutani, T., T. Inoue, M. Kato and H. Ichihashi (1990) Insect-flower relationship in the campus of Kyoto University, Ky | ?",23,10,35,35.033333,135.783333,True,,,web-of-life
web-of-life | Kato et al. 1993. Flowering Phenology and Anthophilous Insect Community in the Cool-Temperate Subalpine Forests and Mead | ?,13,16,38,35.583333,138.383333,True,,,web-of-life
"web-of-life | Kato, M., Kakutani, T., Inoue, T. and Itino, T. (1990). Insect-flower relationship in the primary beech forest of Ashu,  | ?",16,13,41,35.333333,135.75,True,,,web-of-life
"web-of-life | Montero AC (2005).The Ecology of Three Pollination Networks. MSc thesis (Univ of Aarhus, Aarhus, Denmark). | ?",27,13,59,56.238737,9.953652,True,,,web-of-life
"web-of-life | Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Ca | ?",13,33,114,36.075391,-79.001843,True,,,web-of-life
web-of-life | Olesen unpubl. | ?,31,17,63,56.238737,9.973652,True,,,web-of-life
"web-of-life | Oppenheimer, R. L., and Lill, J. T. (2021). A Plant-Bee Visitation Network for Plummers Island, MD. Proceedings of the E | ?",27,39,136,38.9695547,-77.1763687,True,,,web-of-life
"web-of-life | Percival, M. (1974). Floral Ecology of Coastal Scrub in Southeast Jamaica. Biotropica, 6, 104-129. | ?",18,11,31,17.916667,-76.191667,True,,,web-of-life
"web-of-life | Petanidou, T. (1991). Pollination ecology in a phryganic ecosystem. Unp. PhD. Thesis, Aristotelian University, Thessalon | ?",27,29,82,38.014466,23.635043,True,,,web-of-life
"web-of-life | Robertson, C. 1929. Flowers and insects: lists of visitors to four hundred and fifty-three flowers. Carlinville, IL, USA | ?",421,682,9772,39.278958,-89.8968771,True,,,web-of-life
"web-of-life | Sabatino M., Maceira N., Aizen A. M. (2010) Direct effects of habitat area on interaction diversity in pollination webs. | ?",18,24,77,-37.872675,-58.248473,True,,,web-of-life
"web-of-life | Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28. | ?",12,32,130,45.4,-75.5,True,,,web-of-life
"web-of-life | Yamazaki, K. & Kato, M. 2003. Flowering phenology and anthophilous insect community in a grassland ecosystem at Mt. Yufu | ?",17,15,38,33.4,131.5,True,,,web-of-life
