plant,pollinator,n,n_inat
Acer rubrum,Pseudoedophrys hilleri,3,3
Acer rubrum,Scathophaga furcata,1,1
Acer rubrum,Sericomyia chrysotoxoides,1,1
Acer rubrum,Solenopsis invicta,1,1
Acer rubrum,Syneches simplex,1,1
Acer rubrum,Thaumatomyia glabra,1,1
Acer rubrum,Vanessa virginiensis,1,1
Acer rubrum,Xylesthia pruniramiella,2,2
Acer rubrum,Xylocopa virginica,1,1
Acer saccharinum,Acronicta americana,1,1
Acer saccharinum,Andrena erythrogaster,1,0
Acer saccharinum,Andrena quintilis,1,0
Acer saccharinum,Anthidium maculifrons,1,0
Acer saccharinum,Anthophora walshii,1,0
Acer saccharinum,Apis mellifera,2,2
Acer saccharinum,Astata unicolor,1,0
Acer saccharinum,Bibio femoratus,1,0
Acer saccharinum,Bombus impatiens,1,1
Acer saccharinum,Camponotus pennsylvanicus,1,1
Acer saccharinum,Ceratina dupla,1,0
Acer saccharinum,Danaus plexippus,1,1
Acer saccharinum,Eugnoriste occidentalis,1,0
Acer saccharinum,Heringia salax,1,0
Acer saccharinum,Lasioglossum cinctipes,1,0
Acer saccharinum,Lasioglossum illinoense,1,0
Acer saccharinum,Megacyllene decora,1,0
Acer saccharinum,Nomada superba,1,0
Acer saccharinum,Psyllobora vigintimaculata,1,1
Acer saccharinum,Sandalus niger,1,1
Acer saccharinum,Syrphus ribesii,1,0
Acer saccharinum,Toxomerus geminatus,1,1
Acer saccharinum,Triepeolus cressonii,1,0
Acer saccharum,Acronicta retardata,1,1
Acer saccharum,Aphaenogaster tennesseensis,1,1
Acer saccharum,Bombus,1,1
Acer saccharum,Camponotus pennsylvanicus,1,1
Acer saccharum,Colletes inaequalis,2,2
Acer saccharum,Cyrtepistomus castaneus,1,1
Acer saccharum,Enoclerus nigripes,1,1
Acer saccharum,Hypoprepia fucosa,1,1
Acer saccharum,Lasioglossum obscurum,1,1
Acer saccharum,Lithophane georgii,1,1
Acer saccharum,Paraclemensia acerifoliella,1,1
Acer saccharum,Prenolepis imparis,2,2
Acer spicatum,Analeptura lineola,1,1
Acer spicatum,Andrena milwaukeensis,1,1
Acer spicatum,Bombus ternarius,2,1
Acer spicatum,Bombus vagans,1,0
Acer spicatum,Eristalis flavipes,1,1
Acer spicatum,Erynnis juvenalis,1,1
Acer spicatum,Papilio canadensis,1,1
Acer spicatum,Temnostoma venustum,1,1
Achillea filipendulina,Acmaeodera pulchella,2,2
Achillea filipendulina,Anthrenus isabellinus,3,3
Achillea filipendulina,Anthrenus verbasci,1,1
Achillea filipendulina,Apis mellifera,1,1
Achillea filipendulina,Bombus huntii,1,0
Achillea filipendulina,Chauliognathus marginatus,1,1
Achillea filipendulina,Coleomegilla maculata,1,1
Achillea filipendulina,Eremnophila aureonotata,1,1
Achillea filipendulina,Eristalis arbustorum,3,3
Achillea filipendulina,Eristalis tenax,1,1
Achillea filipendulina,Eristalis transversa,1,1
Achillea filipendulina,Euodynerus hidalgo,1,1
Achillea filipendulina,Gibbobruchus mimus,2,2
Achillea filipendulina,Halictus ligatus,7,7
Achillea filipendulina,Halictus tripartitus,1,1
Achillea filipendulina,Lepidophora lutea,1,1
Achillea filipendulina,Orthonevra nitida,1,1
Achillea filipendulina,Polistes dominula,1,1
Achillea filipendulina,Pyrausta orphisalis,1,1
Achillea filipendulina,Satyrium calanus,1,1
Achillea filipendulina,Sphaerophoria contigua,3,3
Achillea filipendulina,Sphecius speciosus,3,3
Achillea filipendulina,Syritta pipiens,6,6
Achillea filipendulina,Toxomerus geminatus,1,1
Achillea filipendulina,Toxomerus marginatus,2,2
Achillea millefolium,Achyra rantalis,2,2
Achillea millefolium,Acmaeodera connexa,1,1
Achillea millefolium,Acmaeodera diffusa,1,1
Achillea millefolium,Acmaeodera hepburnii,2,2
Achillea millefolium,Acmaeodera pulchella,4,0
Achillea millefolium,Adalia bipunctata,5,5
Achillea millefolium,Adela septentrionella,46,6
Achillea millefolium,Aedes albopictus,2,2
Achillea millefolium,Agapostemon sericeus,1,1
Achillea millefolium,Agapostemon texanus,8,3
Achillea millefolium,Agapostemon virescens,3,3
Achillea millefolium,Albuna pyramidalis,2,2
Achillea millefolium,Allograpta obliqua,9,9
Achillea millefolium,Alypia octomaculata,2,2
Achillea millefolium,Ammophila pictipennis,3,3
Achillea millefolium,Anacrabro ocellatus,2,2
Achillea millefolium,Anageshna primordialis,1,1
Achillea millefolium,Anania funebris,1,1
Achillea millefolium,Anastrangalia laetifica,3,2
Achillea millefolium,Ancistrocerus adiabatus,6,6
Achillea millefolium,Ancistrocerus bustamente,1,1
Achillea millefolium,Ancistrocerus catskill,2,2
Achillea millefolium,Ancistrocerus gazella,1,1
Achillea millefolium,Ancistrocerus tuberculocephalus,2,2
Achillea millefolium,Ancyloxypha numitor,1,1
Achillea millefolium,Andrena amphibola,2,0
Achillea millefolium,Andrena crataegi,1,1
Achillea millefolium,Andrena erythrogaster,1,0
Achillea millefolium,Andrena hirticincta,2,2
Achillea millefolium,Andrena milwaukeensis,1,0
Achillea millefolium,Andrena miserabilis,1,1
Achillea millefolium,Andrena nigrocaerulea,1,0
Achillea millefolium,Andrena nivalis,1,0
Achillea millefolium,Andrena pallidifovea,4,0
Achillea millefolium,Andrena prunorum,20,9
Achillea millefolium,Andrena trevoris,1,0
Achillea millefolium,Andrena vicina,1,1
Achillea millefolium,Andrena wilkella,3,3
Achillea millefolium,Annaphila depicta,1,1
Achillea millefolium,Anomoea laticlavia,2,2
Achillea millefolium,Antherophagus ochraceus,1,1
Achillea millefolium,Anthidium manicatum,1,0
Achillea millefolium,Anthidium utahense,1,0
Achillea millefolium,Anthophora curta,1,1
Achillea millefolium,Anthophora walshii,1,0
Achillea millefolium,Anthrenus castaneae,1,1
Achillea millefolium,Anthrenus coloratus,1,1
Achillea millefolium,Anthrenus isabellinus,35,35
Achillea millefolium,Anthrenus lepidus,5,5
Achillea millefolium,Anthrenus scrophulariae,1,1
Achillea millefolium,Anthrenus verbasci,35,35
Achillea millefolium,Apis mellifera,40,22
Achillea millefolium,Areniscythris brachypteris,2,2
Achillea millefolium,Arge humeralis,4,4
Achillea millefolium,Argynnis coronis,4,4
Achillea millefolium,Asterocampa clyton,1,1
Achillea millefolium,Atrytone delaware,2,2
Achillea millefolium,Atrytonopsis hianna,1,1
Achillea millefolium,Attagenus brunneus,1,1
Achillea millefolium,Augochlora pura,8,8
Achillea millefolium,Augochlorella aurata,6,6
Achillea millefolium,Augochloropsis viridula,1,1
Achillea millefolium,Batyle suturalis,2,2
Achillea millefolium,Bembix americana,8,7
Achillea millefolium,Bembix amoena,1,0
Achillea millefolium,Bicyrtes quadrifasciatus,5,5
Achillea millefolium,Bombus,2,2
Achillea millefolium,Bombus affinis,1,1
Achillea millefolium,Bombus auricomus,1,1
Achillea millefolium,Bombus bifarius,14,0
Achillea millefolium,Bombus bimaculatus,3,3
Achillea millefolium,Bombus borealis,1,1
Achillea millefolium,Bombus centralis,4,0
Achillea millefolium,Bombus fervidus,2,0
Achillea millefolium,Bombus flavidus,4,4
Achillea millefolium,Bombus flavifrons,2,0
Achillea millefolium,Bombus fraternus,1,1
Achillea millefolium,Bombus frigidus,1,1
Achillea millefolium,Bombus griseocollis,12,6
Achillea millefolium,Bombus huntii,1,0
Achillea millefolium,Bombus impatiens,20,19
Achillea millefolium,Bombus insularis,2,0
Achillea millefolium,Bombus melanopygus,7,1
Achillea millefolium,Bombus mixtus,5,4
Achillea millefolium,Bombus nevadensis,1,0
Achillea millefolium,Bombus occidentalis,3,2
Achillea millefolium,Bombus pensylvanicus,2,2
Achillea millefolium,Bombus rufocinctus,5,1
Achillea millefolium,Bombus sitkensis,2,1
Achillea millefolium,Bombus ternarius,5,5
Achillea millefolium,Bombus terricola,3,3
Achillea millefolium,Bombus vagans,1,1
Achillea millefolium,Bombus vancouverensis,8,8
Achillea millefolium,Bombus vosnesenskii,12,6
Achillea millefolium,Bombylius major,1,0
Achillea millefolium,Brachyleptura rubrica,5,5
Achillea millefolium,Brachyleptura vagans,1,1
Achillea millefolium,Brachysomida californica,1,1
Achillea millefolium,Brephidium exilis,1,1
Achillea millefolium,Bruchidius villosus,2,2
Achillea millefolium,Burnsius communis,4,4
Achillea millefolium,Calleida punctata,1,1
Achillea millefolium,Calliopsis andreniformis,5,5
Achillea millefolium,Calliopsis personata,1,1
Achillea millefolium,Callophrys muiri,7,7
Achillea millefolium,Calophasia lunula,1,1
Achillea millefolium,Calycopis cecrops,3,3
Achillea millefolium,Cantharis livida,1,1
Achillea millefolium,Carterocephalus mandan,2,2
Achillea millefolium,Cauchas cockerelli,1,1
Achillea millefolium,Celastrina lucia,1,1
Achillea millefolium,Ceratina acantha,5,0
Achillea millefolium,Ceratina nanula,3,0
Achillea millefolium,Ceratina strenua,1,1
Achillea millefolium,Cerceris fumipennis,5,5
Achillea millefolium,Cerceris insolita,3,3
Achillea millefolium,Cerceris kennicottii,2,2
Achillea millefolium,Cercyonis oetus,3,2
Achillea millefolium,Cercyonis pegala,2,2
Achillea millefolium,Chalcosyrphus piger,2,2
Achillea millefolium,Chauliognathus marginatus,159,159
Achillea millefolium,Chauliognathus pensylvanicus,2,2
Achillea millefolium,Chlosyne acastus,2,2
Achillea millefolium,Chlosyne gabbii,1,1
Achillea millefolium,Chlosyne harrisii,2,2
Achillea millefolium,Chlosyne palla,5,5
Achillea millefolium,Choreutis pariana,1,1
Achillea millefolium,Chrysanthrax cypris,3,3
Achillea millefolium,Chrysops geminatus,1,1
Achillea millefolium,Cisseps fulvicollis,5,5
Achillea millefolium,Clossiana toddi,2,2
Achillea millefolium,Coccinella californica,1,1
Achillea millefolium,Coccinella septempunctata,20,20
Achillea millefolium,Coccinella trifasciata,1,1
Achillea millefolium,Coelioxys octodentatus,1,1
Achillea millefolium,Coelioxys rufitarsis,1,1
Achillea millefolium,Coenonympha california,27,27
Achillea millefolium,Coleomegilla maculata,4,4
Achillea millefolium,Coleophora deauratella,1,1
Achillea millefolium,Colias eurytheme,2,2
Achillea millefolium,Colias interior,1,1
Achillea millefolium,Colias philodice,1,1
Achillea millefolium,Collops tricolor,1,1
Achillea millefolium,Compsomyiops callipes,1,1
Achillea millefolium,Conophorus sackenii,7,0
Achillea millefolium,Copestylum lentum,2,2
Achillea millefolium,Copestylum vittatum,2,2
Achillea millefolium,Cortodera subpilosa,30,1
Achillea millefolium,Cosmosalia chrysocoma,7,0
Achillea millefolium,Cryptorhopalum apicale,1,1
Achillea millefolium,Cryptorhopalum haemorrhoidale,1,0
Achillea millefolium,Ctenucha virginica,15,15
Achillea millefolium,Cyaniris neglecta,3,3
Achillea millefolium,Cycloneda sanguinea,1,1
Achillea millefolium,Danaus plexippus,7,7
Achillea millefolium,Dejongia lobidactylus,4,4
Achillea millefolium,Desmia funeralis,1,1
Achillea millefolium,Diabrotica undecimpunctata,8,8
Achillea millefolium,Dianthidium subparvum,4,4
Achillea millefolium,Dione vanillae,1,1
Achillea millefolium,Dolichovespula arenaria,1,1
Achillea millefolium,Ectemnius arcuatus,1,1
Achillea millefolium,Ectemnius decemmaculatus,1,1
Achillea millefolium,Ectemnius maculosus,3,3
Achillea millefolium,Efferia aestuans,1,1
Achillea millefolium,Entypus unifasciatus,1,1
Achillea millefolium,Epargyreus clarus,8,8
Achillea millefolium,Epeolus compactus,4,1
Achillea millefolium,Epeolus minimus,1,0
Achillea millefolium,Epicauta puncticollis,2,2
Achillea millefolium,Epistrophe grossulariae,2,2
Achillea millefolium,Episyron biguttatus,2,2
Achillea millefolium,Eremnophila aureonotata,4,4
Achillea millefolium,Eresia aveyrona,9,9
Achillea millefolium,Eristalinus aeneus,10,10
Achillea millefolium,Eristalis arbustorum,72,67
Achillea millefolium,Eristalis dimidiata,9,6
Achillea millefolium,Eristalis flavipes,5,5
Achillea millefolium,Eristalis hirta,2,1
Achillea millefolium,Eristalis nemorum,2,2
Achillea millefolium,Eristalis stipator,6,6
Achillea millefolium,Eristalis tenax,24,23
Achillea millefolium,Eristalis transversa,20,20
Achillea millefolium,Erynnis baptisiae,1,1
Achillea millefolium,Erynnis horatius,1,1
Achillea millefolium,Erynnis tristis,1,1
Achillea millefolium,Etorofus obliteratus,1,1
Achillea millefolium,Eucera hamata,1,1
Achillea millefolium,Eucerceris provancheri,2,2
Achillea millefolium,Euderces picipes,1,1
Achillea millefolium,Eugnoriste occidentalis,1,0
Achillea millefolium,Eumenes fraternus,3,3
Achillea millefolium,Euodynerus annulatus,2,2
Achillea millefolium,Euodynerus foraminatus,5,5
Achillea millefolium,Euodynerus hidalgo,13,13
Achillea millefolium,Euodynerus pratensis,2,2
Achillea millefolium,Eupeodes americanus,2,2
Achillea millefolium,Eupeodes fumipennis,3,3
Achillea millefolium,Eupeodes volucris,5,1
Achillea millefolium,Euphydryas phaeton,4,4
Achillea millefolium,Euphyes conspicua,1,1
Achillea millefolium,Euphyes dion,1,1
Achillea millefolium,Euphyes vestris,2,2
Achillea millefolium,Feltia herilis,1,1
Achillea millefolium,Geron calvus,1,1
Achillea millefolium,Gibbobruchus mimus,4,4
Achillea millefolium,Gillmeria pallidactyla,27,27
Achillea millefolium,Gnathacmaeops pratensis,2,2
Achillea millefolium,Gnophaela vermiculata,2,1
Achillea millefolium,Halictus confusus,12,4
Achillea millefolium,Halictus farinosus,9,8
Achillea millefolium,Halictus ligatus,184,161
Achillea millefolium,Halictus poeyi,2,2
Achillea millefolium,Halictus rubicundus,33,16
Achillea millefolium,Halictus tripartitus,12,2
Achillea millefolium,Haploa confusa,1,1
Achillea millefolium,Haploa reversa,1,1
Achillea millefolium,Harmonia axyridis,12,12
Achillea millefolium,Harrisina americana,41,41
Achillea millefolium,Hedone vibex,1,1
Achillea millefolium,Hedriodiscus binotatus,1,1
Achillea millefolium,Hedychrum violaceum,1,1
Achillea millefolium,Heliothis phloxiphaga,1,1
Achillea millefolium,Heliothodes diminutiva,6,6
Achillea millefolium,Helophilus fasciatus,1,1
Achillea millefolium,Helophilus latifrons,1,1
Achillea millefolium,Hemaris thetis,1,1
Achillea millefolium,Hemileuca eglanterina,1,1
Achillea millefolium,Hemipenthes morioides,1,0
Achillea millefolium,Hemipenthes seminiger,1,0
Achillea millefolium,Hemipenthes sinuosus,3,0
Achillea millefolium,Heriades carinata,3,0
Achillea millefolium,Hesperia juba,1,1
Achillea millefolium,Hippodamia convergens,13,13
Achillea millefolium,Hippodamia tredecimpunctata,1,1
Achillea millefolium,Hippodamia variegata,1,1
Achillea millefolium,Holcopasites calliopsidis,6,6
Achillea millefolium,Hoplitis fulgida,1,1
Achillea millefolium,Hoplitis producta,1,0
Achillea millefolium,Hoshihananomia octopunctata,1,1
Achillea millefolium,Hylaeus affinis,1,1
Achillea millefolium,Hylaeus basalis,2,2
Achillea millefolium,Hylaeus leptocephalus,5,5
Achillea millefolium,Hylaeus modestus,9,3
Achillea millefolium,Hylaeus nelumbonis,1,1
Achillea millefolium,Hylaeus punctatus,1,0
Achillea millefolium,Hylaeus rudbeckiae,1,0
Achillea millefolium,Hylephila phyleus,3,3
Achillea millefolium,Icaricia acmon,5,5
Achillea millefolium,Icaricia icarioides,1,1
Achillea millefolium,Icaricia saepiolus,1,1
Achillea millefolium,Incisalia irioides,1,1
Achillea millefolium,Incisalia niphon,5,5
Achillea millefolium,Ischnus inquisitorius,1,1
Achillea millefolium,Isodontia auripes,1,1
Achillea millefolium,Isodontia elegans,2,2
Achillea millefolium,Isodontia mexicana,5,5
Achillea millefolium,Judolia cordifera,14,14
Achillea millefolium,Judolia montivagans,2,2
Achillea millefolium,Junonia coenia,2,2
Achillea millefolium,Junonia grisea,7,7
Achillea millefolium,Labidomera clivicollis,1,1
Achillea millefolium,Lapposyrphus aberrantis,1,0
Achillea millefolium,Lapposyrphus lapponicus,1,0
Achillea millefolium,Larinus obtusus,4,4
Achillea millefolium,Lasioglossum albipenne,7,0
Achillea millefolium,Lasioglossum cinctipes,1,0
Achillea millefolium,Lasioglossum coeruleum,1,1
Achillea millefolium,Lasioglossum cressonii,12,0
Achillea millefolium,Lasioglossum dashwoodi,1,0
Achillea millefolium,Lasioglossum illinoense,1,0
Achillea millefolium,Lasioglossum imitatum,2,2
Achillea millefolium,Lasioglossum incompletum,6,0
Achillea millefolium,Lasioglossum laevissimum,1,0
Achillea millefolium,Lasioglossum lusorium,1,1
Achillea millefolium,Lasioglossum mellipes,1,0
Achillea millefolium,Lasioglossum nevadense,4,0
Achillea millefolium,Lasioglossum nigroviride,3,0
Achillea millefolium,Lasioglossum paraforbesii,1,1
Achillea millefolium,Lasioglossum pectinatum,1,0
Achillea millefolium,Lasioglossum pectorale,1,1
Achillea millefolium,Lasioglossum pruinosum,4,0
Achillea millefolium,Lasioglossum sedi,2,0
Achillea millefolium,Lasioglossum sisymbrii,9,4
Achillea millefolium,Lasioglossum titusi,2,0
Achillea millefolium,Lasioglossum vierecki,6,6
Achillea millefolium,Lasioglossum zonulum,3,0
Achillea millefolium,Lestica producticollis,1,1
Achillea millefolium,Leucospis affinis,3,3
